,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
0,Dąbrowa Centrum,Gdynia Dąbrowa Centrum,5.0,Gdynia,54.47317,18.46509
1,Kameliowa,Gdynia Kameliowa,5.0,Gdynia,54.47018,18.4682
2,Paprykowa,Gdynia Paprykowa,5.0,Gdynia,54.46784,18.46546
3,Szafranowa,Gdynia Szafranowa,5.0,Gdynia,54.46536,18.4602
4,Giełda Towarowa,Gdynia Giełda Towarowa,5.0,Gdynia,54.46224,18.45337
5,Rdestowa - Chwaszczyńska,Gdynia Rdestowa - Chwaszczyńska (N/Ż),5.0,Gdynia,54.45874,18.4528
6,Starochwaszczyńska,Gdynia Starochwaszczyńska (N/Ż),5.0,Gdynia,54.45696,18.4495
10,Anyżowa,Gdynia Anyżowa,5.0,Gdynia,54.47483,18.46977
12,Rdestowa - Leśny Zakątek,Gdynia Rdestowa - Leśny Zakątek (N/Ż),5.0,Gdynia,54.46412,18.45762
13,Targ Rybny,Targ Rybny,1.0,Gdańsk,54.35332,18.65781
14,Port Lotniczy,Port Lotniczy,1.0,Gdańsk,54.38267,18.46753
15,Muzeum II Wojny Światowej,Muzeum II Wojny Światowej,1.0,Gdańsk,54.35764,18.65872
16,Wrzeszcz PKP,Wrzeszcz PKP,1.0,Gdańsk,54.3813,18.60447
17,Oliwa PKP,Oliwa PKP,1.0,Gdańsk,54.41123,18.57213
18,Oliwa Pętla Tramwajowa,Oliwa Pętla Tramwajowa,1.0,Gdańsk,54.40926,18.56708
19,Żabianka SKM,Żabianka SKM,1.0,Gdańsk,54.42112,18.57006
20,Jelitkowo Kapliczna,Jelitkowo Kapliczna,1.0,Gdańsk,54.42158,18.60209
21,Zaspa SKM,Zaspa SKM,1.0,Gdańsk,54.3893,18.59444
22,Nowy Port Szaniec Zachodni,Nowy Port Szaniec Zachodni,1.0,Gdańsk,54.39618,18.67291
23,Migowo,Migowo,1.0,Gdańsk,54.35264,18.57626
24,Chełm Witosa,Chełm Witosa,1.0,Gdańsk,54.33741,18.61631
25,Chełm Cienista,Chełm Cienista,1.0,Gdańsk,54.33831,18.627
26,Orunia Górna,Orunia Górna,1.0,Gdańsk,54.3252,18.61839
27,Maćkowy,Maćkowy,1.0,Gdańsk,54.30689,18.61525
28,Równa,Orunia Równa,1.0,Gdańsk,54.32419,18.64089
29,Olszynka - Szkoła,Olszynka Szkoła,1.0,Gdańsk,54.34184,18.66894
30,Górki Zachodnie,Górki Zachodnie,1.0,Gdańsk,54.3548,18.7821
31,,Nabrzeże Przemysłowe,,,54.37428,18.66562
32,Westerplatte,Westerplatte,1.0,Gdańsk,54.40606,18.67702
33,Górki Wschodnie,Górki Wschodnie,1.0,Gdańsk,54.35038,18.79305
34,Przegalina,Przegalina,1.0,Gdańsk,54.31122,18.91707
35,Lipuska,Lipuska,1.0,Gdańsk,54.33863,18.51084
36,,Witomińska,,,54.51253,18.53218
37,Bysewo,Bysewo,1.0,Gdańsk,54.37497,18.46361
38,Matemblewo,Matemblewo,1.0,Gdańsk,54.36664,18.54891
39,Suchanino,Suchanino,1.0,Gdańsk,54.35411,18.60737
40,Osowa Przesypownia,Osowa Przesypownia,1.0,Gdańsk,54.41501,18.4585
41,Niedźwiednik,Niedźwiednik,1.0,Gdańsk,54.38,18.55937
42,Oliwa ZOO,Oliwa ZOO,1.0,Gdańsk,54.41353,18.53517
43,,Warszawska,,,54.51691,18.53049
44,Sztutowska,Sztutowska,1.0,Gdańsk,54.35395,18.71869
45,Jelitkowo,Jelitkowo,1.0,Gdańsk,54.42346,18.59376
46,Galaktyczna,Galaktyczna,1.0,Gdańsk,54.42812,18.48622
47,Osowa PKP,Osowa PKP,1.0,Gdańsk,54.42082,18.45204
48,,Gdynia Dworzec Gł. PKP - Wolności,,,54.51982,18.52781
49,Chełm - Więckowskiego,Chełm Więckowskiego,1.0,Gdańsk,54.33398,18.6158
50,Ujeścisko,Ujeścisko,1.0,Gdańsk,54.33127,18.58534
52,Smęgorzyno,Smęgorzyno,1.0,Gdańsk,54.34205,18.4732
53,Stogi Plaża,Stogi Plaża,1.0,Gdańsk,54.37243,18.7286
54,Św. Wojciech,Święty Wojciech,1.0,Gdańsk,54.28478,18.63808
55,Kukawka,Kukawka,1.0,Gdańsk,54.44403,18.45759
56,,Bpa Okoniewskiego,,,54.52322,18.52173
57,Kiełpino Górne,Kiełpino Górne,1.0,Gdańsk,54.34195,18.49882
58,Kampinoska,Kampinoska,1.0,Gdańsk,54.31611,18.60301
59,Olimpijska,Olimpijska,1.0,Gdańsk,54.30558,18.58112
60,,Stocznia SKM - Morska,,,54.52479,18.5174
61,Politechnika SKM,Politechnika SKM,1.0,Gdańsk,54.37393,18.62627
62,Łostowice Świętokrzyska,Łostowice Świętokrzyska,1.0,Gdańsk,54.32329,18.60623
63,Zakoniczyn,Zakoniczyn,1.0,Gdańsk,54.31981,18.57735
64,Jaworzniaków,Jaworzniaków,1.0,Gdańsk,54.31804,18.56873
65,,Uniwersytet Morski,,,54.52786,18.50898
67,Jasień Pólnicy,Jasień Pólnicy,1.0,Gdańsk,54.34111,18.56103
68,Oliwa,Oliwa,1.0,Gdańsk,54.40961,18.56699
69,Zaspa,Zaspa,1.0,Gdańsk,54.39982,18.59561
70,Siedlce,Siedlce ,1.0,Gdańsk,54.34831,18.60648
71,,Mireckiego,,,54.52959,18.50268
72,Nowy Port Góreckiego,Nowy Port Góreckiego,1.0,Gdańsk,54.40003,18.67112
73,Nowy Port Oliwska,Nowy Port Oliwska,1.0,Gdańsk,54.40143,18.67493
74,Brzeźno,Brzeźno,1.0,Gdańsk,54.40732,18.63812
75,Strzyża PKM,Strzyża PKM,1.0,Gdańsk,54.39117,18.57821
76,Przeróbka,Przeróbka (techniczny),1.0,Gdańsk,54.3578,18.68403
77,,Kalksztajnów,,,54.53156,18.49503
78,,Komandorska - Hotel,,,54.52952,18.49661
79,,Dembińskiego,,,54.5278,18.49407
80,,Sambora,,,54.52756,18.49584
81,,Krofeya,,,54.52821,18.49698
82,,Redłowo SKM,,,54.49125,18.53718
83,,Morska - Estakada,,,54.5333,18.48953
84,,Grabówek SKM,,,54.53412,18.49444
85,,Technikum Chłodnicze,,,54.52714,18.49001
86,,Leszczynki II,,,54.52777,18.48126
87,,Leszczynki I,,,54.5298,18.48373
88,,Kordeckiego,,,54.53098,18.48614
89,,Plac Górnośląski,,,54.48353,18.53857
90,,Węzeł Żołnierzy Wyklętych,,,54.53483,18.48226
91,,Łowicka,,,54.48122,18.53104
92,,Zamenhofa,,,54.53773,18.47856
93,,Olgierda,,,54.47839,18.52366
94,,Leszczynki SKM,,,54.54111,18.47649
95,Zajezdnia NOWY PORT,Zajezdnia Nowy Port (techniczny),1.0,Gdańsk,54.39708,18.67365
96,,Lidzka,,,54.47558,18.51608
97,,Pucka,,,54.54338,18.46778
98,Baza Hallera,Baza Hallera (techniczny),1.0,Gdańsk,54.39722,18.62155
99,,Racławicka,,,54.47224,18.51306
