,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
45,Św. Wojciech,Święty Wojciech,1.0,Gdańsk,54.28478000000001,18.63808,"54.28478000000001, 18.63808",3660,black
49,Olimpijska,Olimpijska,1.0,Gdańsk,54.305580000000006,18.58112,"54.305580000000006, 18.58112",3997,black
23,Maćkowy,Maćkowy,1.0,Gdańsk,54.30689,18.61525,"54.30689, 18.61525",3780,black
29,Przegalina,Przegalina,1.0,Gdańsk,54.31122,18.91707,"54.31122, 18.91707",5160,black
48,Kampinoska,Kampinoska,1.0,Gdańsk,54.31611,18.60301,"54.31611, 18.60301",3360,red
53,Jaworzniaków,Jaworzniaków,1.0,Gdańsk,54.31804,18.56873,"54.31804, 18.56873",3060,red
52,Zakoniczyn,Zakoniczyn,1.0,Gdańsk,54.31981,18.57735,"54.31981, 18.57735",3639,black
51,Łostowice Świętokrzyska,Łostowice Świętokrzyska,1.0,Gdańsk,54.32329,18.60623,"54.32329, 18.60623",2760,red
24,Równa,Orunia Równa,1.0,Gdańsk,54.32419,18.64089,"54.32419, 18.64089",3600,black
22,Orunia Górna,Orunia Górna,1.0,Gdańsk,54.3252,18.61839,"54.3252, 18.61839",3130,red
42,Ujeścisko,Ujeścisko,1.0,Gdańsk,54.33127,18.58534,"54.33127, 18.58534",2443,yellow
41,Chełm - Więckowskiego,Chełm Więckowskiego,1.0,Gdańsk,54.33398,18.6158,"54.33398, 18.6158",2699,yellow
20,Chełm Witosa,Chełm Witosa,1.0,Gdańsk,54.33741,18.61631,"54.33741, 18.61631",2483,yellow
21,Chełm Cienista,Chełm Cienista,1.0,Gdańsk,54.33831,18.627,"54.33831, 18.627",2513,yellow
30,Lipuska,Lipuska,1.0,Gdańsk,54.33863,18.51084,"54.33863, 18.51084",3660,black
54,Jasień Pólnicy,Jasień Pólnicy,1.0,Gdańsk,54.34111,18.56103,"54.34111, 18.56103",2394,yellow
25,Olszynka - Szkoła,Olszynka Szkoła,1.0,Gdańsk,54.34184000000001,18.66894,"54.34184000000001, 18.66894",3386,red
47,Kiełpino Górne,Kiełpino Górne,1.0,Gdańsk,54.34195,18.49882,"54.34195, 18.49882",3780,black
43,Smęgorzyno,Smęgorzyno,1.0,Gdańsk,54.34205,18.4732,"54.34205, 18.4732",5355,black
75,Chłodna,Chłodna,1.0,Gdańsk,54.34333,18.66275,"54.34333, 18.66275",3011,red
70,Toruńska,Toruńska,1.0,Gdańsk,54.34616,18.6456,"54.34616, 18.6456",2177,yellow
76,Żabi Kruk,Żabi Kruk,1.0,Gdańsk,54.34645,18.65135,"54.34645, 18.65135",2700,red
77,Szafarnia,Szafarnia,1.0,Gdańsk,54.34745,18.66108,"54.34745, 18.66108",3060,red
78,Brama Żuławska,Brama Żuławska,1.0,Gdańsk,54.34751,18.66882,"54.34751, 18.66882",3072,red
69,Śródmieście SKM,Śródmieście SKM,1.0,Gdańsk,54.34794,18.64373,"54.34794, 18.64373",2097,yellow
99,Borska,Borska (N/Ż),1.0,Gdańsk,54.34829000000001,18.47892,"54.34829000000001, 18.47892",2751,red
57,Siedlce,Siedlce ,1.0,Gdańsk,54.34831,18.60648,"54.34831, 18.60648",1628,blue
80,Elbląska,Elbląska,1.0,Gdańsk,54.34914000000001,18.6702,"54.34914000000001, 18.6702",3029,red
74,Brama Wyżynna,Brama Wyżynna,1.0,Gdańsk,54.35032,18.64628,"54.35032, 18.64628",2003,yellow
28,Górki Wschodnie,Górki Wschodnie,1.0,Gdańsk,54.35038,18.79305,"54.35038, 18.79305",4858,black
73,Hucisko,Hucisko,1.0,Gdańsk,54.35197,18.64485,"54.35197, 18.64485",1843,yellow
82,Głęboka,Głęboka,1.0,Gdańsk,54.35235,18.67165,"54.35235, 18.67165",3360,red
19,Migowo,Migowo,1.0,Gdańsk,54.35264,18.57626,"54.35264, 18.57626",1260,blue
9,Targ Rybny,Targ Rybny,1.0,Gdańsk,54.35332,18.65781,"54.35332, 18.65781",2535,yellow
